fecha,tipo_cambio
2025-05-22,7981.06
2025-05-23,7983.59
2025-05-26,7991.48
2025-05-27,8000.95
2025-05-28,7990.57
2025-05-29,7973.08
2025-05-30,7959.39
2025-06-02,7985.44
2025-06-03,7994.25
2025-06-04,7971.35
2025-06-05,7963.35
2025-06-06,7963.43
2025-06-09,7957.8
2025-06-10,7978.74
2025-06-11,7982.06
2025-06-12,7960.37
2025-06-13,7963.74
2025-06-17,7978.38
2025-06-18,7982.68
2025-06-19,7980.39
2025-06-20,7967.38
2025-06-23,7979.85
2025-06-24,7980.7
2025-06-25,7960.84
2025-06-26,7928.53
2025-06-27,7901.3
2025-06-30,7784.15
2025-07-01,7708.58
2025-07-02,7727.6
2025-07-03,7802.97
2025-07-04,7745.69
2025-07-07,7715.54
2025-07-08,7710.7
2025-07-09,7684.18
2025-07-10,7621.46
2025-07-11,7620.16
2025-07-14,7605.73
2025-07-15,7576.76
2025-07-16,7559.45
2025-07-17,7512.36
2025-07-18,7442.77
2025-07-21,7366.06
2025-07-22,7431.04
2025-07-23,7498.6
2025-07-24,7459.69
2025-07-25,7451.38
2025-07-28,7394.58
2025-07-29,7369.69
2025-07-30,7399.79
2025-07-31,7430.78
2025-08-01,7406.95
2025-08-04,7383.48
2025-08-05,7355.4
2025-08-06,7334.27
2025-08-07,7299.41
2025-08-08,7271.55
2025-08-11,7263.48
2025-08-12,7268.29
2025-08-13,7234.4
2025-08-14,7173.39
2025-08-18,7217.78
2025-08-19,7293.98
2025-08-20,7373.43
2025-08-21,7403.7
2025-08-22,7405.87
2025-08-25,7378.88
2025-08-26,7319.39
2025-08-27,7306.34
2025-08-28,7340.01
2025-08-29,7327.49
2025-09-01,7288.84
2025-09-02,7302.8
2025-09-03,7297.0
2025-09-04,7208.33
2025-09-08,7132.35
2025-09-09,7177.04
2025-09-10,7190.07
2025-09-11,7169.79
2025-09-12,7216.51
2025-09-15,7225.5
2025-09-16,7174.14
2025-09-17,7171.69
2025-09-18,7180.71
2025-09-19,7165.36
2025-09-22,7093.5
2025-09-23,7053.66
2025-09-24,7062.46
2025-09-25,7094.9
2025-09-26,7065.5
2025-09-30,7002.41
2025-10-01,7006.41
2025-10-02,7023.36
2025-10-03,7052.49
2025-10-06,7014.24
2025-10-07,6984.86
2025-10-08,7001.34
2025-10-09,7021.13
2025-10-10,7057.85
2025-10-13,7043.11
2025-10-14,7067.32
2025-10-15,7068.98
2025-10-16,7104.68
2025-10-17,7077.11
2025-10-20,7055.99
2025-10-21,7091.62
2025-10-22,7098.25
2025-10-23,7080.7
2025-10-24,7085.87
2025-10-27,7091.79
2025-10-28,7111.36
2025-10-29,7091.32
2025-10-30,7077.99
2025-10-31,7104.85
2025-11-03,7091.42
2025-11-04,7084.39
2025-11-05,7087.5
2025-11-06,7077.8
2025-11-07,7090.26
2025-11-10,7068.37
2025-11-11,7063.27
2025-11-12,7048.31
2025-11-13,7047.69
2025-11-14,7042.33
2025-11-17,7050.85
2025-11-18,7048.52
2025-11-19,7023.42
2025-11-20,7019.02
2025-11-21,7000.3
2025-11-24,7002.55
2025-11-25,6992.48
2025-11-26,6985.37
2025-11-27,6997.19
2025-11-28,6982.22
2025-12-01,6957.49
2025-12-02,6883.26
2025-12-03,6870.64
2025-12-04,6886.39
2025-12-05,6837.96
2025-12-09,6817.78
2025-12-10,6757.21
2025-12-11,6722.01
2025-12-12,6608.07
2025-12-15,6436.05
2025-12-16,6621.92
2025-12-17,6687.49
2025-12-18,6707.41
2025-12-19,6773.23
2025-12-22,6821.61
2025-12-23,6790.83
2025-12-24,6632.86
2025-12-29,6583.69
2025-12-30,6575.71
